2026-04-06 10:36:51 UTC | main         | INFO     | =======================================================
2026-04-06 10:36:51 UTC | main         | INFO     |   MT5_Level_Bot v3.0.0 запускается...
2026-04-06 10:36:51 UTC | main         | INFO     | =======================================================
2026-04-06 10:36:51 UTC | main         | INFO     | Запуск GUI...
2026-04-06 10:56:01 UTC | main         | INFO     | Завершение работы...
2026-04-06 10:56:01 UTC | main         | INFO     | MT5_Level_Bot v3.0.0 завершил работу
2026-04-06 12:11:11 UTC | main         | INFO     | =======================================================
2026-04-06 12:11:11 UTC | main         | INFO     |   MT5_Level_Bot v3.0.0 запускается...
2026-04-06 12:11:11 UTC | main         | INFO     | =======================================================
2026-04-06 12:11:11 UTC | main         | INFO     | Запуск GUI...
2026-04-06 12:20:50 UTC | main         | INFO     | Завершение работы...
2026-04-06 12:20:50 UTC | main         | INFO     | MT5_Level_Bot v3.0.0 завершил работу
