2026-04-06 10:37:17 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:17 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:17 UTC | mt5_bridge   | INFO     | ConnectionMonitor запущен
2026-04-06 10:37:17 UTC | mt5_bridge   | INFO     | MT5 подключён
2026-04-06 10:37:17 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:17 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:21 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:22 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:23 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:37:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:38:03 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:38:03 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:42:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:47:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 10:52:34 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 10:56:01 UTC | mt5_bridge   | INFO     | ConnectionMonitor остановлен
2026-04-06 12:11:31 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:31 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:31 UTC | mt5_bridge   | INFO     | ConnectionMonitor запущен
2026-04-06 12:11:31 UTC | mt5_bridge   | INFO     | MT5 подключён
2026-04-06 12:11:31 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:31 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 отключён
2026-04-06 12:11:35 UTC | mt5_bridge   | DEBUG    | MT5 подключён: build=5660
