2026-04-06 10:37:34 UTC | signal       | INFO     | SignalEngine SCAN: поток запущен
2026-04-06 10:37:34 UTC | signal       | INFO     | SignalEngine M5 Monitor: поток запущен
2026-04-06 10:37:34 UTC | signal       | INFO     | SignalEngine запущен (SCAN: 300с, M5: 30с, min_S=7.5, min_T=0.7)
2026-04-06 10:37:34 UTC | signal       | INFO     | SignalEngine: запуск цикла...
2026-04-06 10:37:34 UTC | signal       | INFO     | Scalping модуль запущен (Signal + Trader + Evaluator)
2026-04-06 10:37:34 UTC | signal       | DEBUG    |   AUDUSD   H1   Support      zone=0.70150 S=7.91 T=0.474 [prox=0.00 trend=1.00 rsi=50(0.65) adx=0.42 vol=0.63 f=0.00]
2026-04-06 10:37:34 UTC | signal       | DEBUG    |   EURGBP   H1   Resistance   zone=0.86500 S=7.89 T=0.454 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.67 vol=0.66 f=0.00]
2026-04-06 10:37:34 UTC | signal       | DEBUG    |   EURUSD   H4   Support      zone=1.15000 S=7.91 T=0.459 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.89 vol=0.70 f=0.00]
2026-04-06 10:37:34 UTC | signal       | DEBUG    |   GBPUSD   H1   Resistance   zone=1.34050 S=7.88 T=0.430 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.77 vol=0.60 f=0.00]
2026-04-06 10:37:34 UTC | signal       | DEBUG    |   USDCHF   H1   Support      zone=0.79100 S=7.93 T=0.480 [prox=0.00 trend=0.70 rsi=50(0.65) adx=1.00 vol=0.75 f=0.00]
2026-04-06 10:37:34 UTC | signal       | INFO     | SignalEngine: нет новых сигналов в этом цикле
2026-04-06 10:42:34 UTC | signal       | INFO     | SignalEngine: запуск цикла...
2026-04-06 10:42:34 UTC | signal       | DEBUG    |   AUDUSD   H1   Support      zone=0.70150 S=7.91 T=0.475 [prox=0.00 trend=1.00 rsi=50(0.65) adx=0.42 vol=0.64 f=0.00]
2026-04-06 10:42:34 UTC | signal       | DEBUG    |   EURGBP   H1   Resistance   zone=0.86500 S=7.89 T=0.456 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.67 vol=0.67 f=0.00]
2026-04-06 10:42:34 UTC | signal       | DEBUG    |   EURUSD   H4   Support      zone=1.15000 S=7.91 T=0.460 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.89 vol=0.72 f=0.00]
2026-04-06 10:42:34 UTC | signal       | DEBUG    |   GBPUSD   H1   Resistance   zone=1.34050 S=7.88 T=0.431 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.77 vol=0.61 f=0.00]
2026-04-06 10:42:34 UTC | signal       | DEBUG    |   USDCHF   H1   Support      zone=0.79100 S=7.93 T=0.481 [prox=0.00 trend=0.70 rsi=50(0.65) adx=1.00 vol=0.76 f=0.00]
2026-04-06 10:42:34 UTC | signal       | INFO     | SignalEngine: нет новых сигналов в этом цикле
2026-04-06 10:47:34 UTC | signal       | INFO     | SignalEngine: запуск цикла...
2026-04-06 10:47:34 UTC | signal       | DEBUG    |   AUDUSD   H1   Support      zone=0.70150 S=7.91 T=0.486 [prox=0.00 trend=1.00 rsi=50(0.65) adx=0.47 vol=0.68 f=0.00]
2026-04-06 10:47:34 UTC | signal       | DEBUG    |   EURGBP   H1   Resistance   zone=0.86500 S=7.89 T=0.460 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.67 vol=0.71 f=0.00]
2026-04-06 10:47:34 UTC | signal       | DEBUG    |   EURUSD   H4   Support      zone=1.15000 S=7.91 T=0.471 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.94 vol=0.76 f=0.00]
2026-04-06 10:47:34 UTC | signal       | DEBUG    |   GBPUSD   H1   Resistance   zone=1.34050 S=7.88 T=0.472 [prox=0.00 trend=0.70 rsi=50(0.65) adx=0.80 vol=0.64 f=0.00]
2026-04-06 10:47:34 UTC | signal       | DEBUG    |   USDCHF   H1   Support      zone=0.79100 S=7.93 T=0.518 [prox=0.00 trend=0.70 rsi=50(0.65) adx=1.00 vol=0.80 f=0.00]
2026-04-06 10:47:34 UTC | signal       | INFO     | SignalEngine: нет новых сигналов в этом цикле
2026-04-06 10:52:34 UTC | signal       | INFO     | SignalEngine: запуск цикла...
